Date,Ask,Bid,Last,Volume (BTC),Volume (% of Total)
2015-07-22,255.0,253.0,255.0,83.36,1.42
2015-07-21,255.0,252.6,255.0,73.91,1.29
2015-07-20,257.0,254.0,257.0,72.2,1.4
2015-07-19,255.0,252.0,255.0,10.82,0.45
2015-07-18,257.0,253.0,257.0,30.61,0.68
2015-07-17,257.49,255.0,257.49,62.68,1.01
2015-07-16,260.0,258.0,260.0,172.77,1.91
2015-07-15,266.9,261.5,261.5,120.4,1.84
2015-07-14,259.0,257.0,264.5,62.02,0.93
2015-07-13,266.0,257.66,266.66,269.88,2.03
2015-07-12,279.9,273.6,279.9,186.03,2.02
2015-07-11,263.0,260.0,263.0,45.51,0.6
2015-07-10,260.0,254.0,260.0,247.68,1.46
2015-07-09,248.6,247.0,248.6,90.75,1.38
2015-07-08,246.99,243.2,246.99,118.37,1.89
2015-07-07,247.0,246.0,247.0,103.76,1.67
2015-07-06,251.0,247.51,251.0,93.61,0.84
2015-07-05,251.99,245.5,246.5,115.51,1.37
2015-07-04,234.0,230.0,234.0,45.19,1.61
2015-07-03,231.85,230.0,231.85,129.17,2.25
2015-07-02,234.0,231.3,232.0,68.32,1.14
2015-07-01,239.9,235.0,235.0,173.26,2.58
2015-06-30,240.0,236.0,237.0,293.48,2.65
2015-06-29,231.0,228.0,231.0,110.24,1.57
2015-06-28,224.8,223.0,224.8,43.07,1.01
2015-06-27,223.0,222.5,222.5,96.69,2.09
2015-06-26,216.9,211.5,211.5,81.66,2.72
2015-06-25,216.8,216.12,216.12,53.04,1.18
2015-06-24,216.5,214.01,216.5,69.71,1.63
2015-06-23,220.0,218.3,218.3,89.21,1.8
2015-06-22,217.5,213.01,212.21,54.57,0.9
2015-06-21,214.0,213.0,213.9,69.66,2.98
2015-06-20,217.4,216.99,215.99,42.52,1.24
2015-06-19,217.77,215.4,215.4,144.28,2.49
2015-06-18,219.38,217.0,219.4,56.71,0.9
2015-06-17,219.65,216.0,216.0,137.04,1.58
2015-06-16,217.25,215.5,217.25,184.01,1.94
2015-06-15,209.9,206.1,208.0,101.24,2.0
2015-06-14,206.95,203.1,206.95,29.46,1.3
2015-06-13,206.2,204.7,206.2,15.38,0.88
2015-06-12,205.7,203.0,205.9,85.32,2.56
2015-06-11,205.9,202.01,205.9,67.91,1.16
2015-06-10,203.99,203.0,203.0,88.57,2.19
2015-06-09,205.0,202.1,201.0,84.53,1.68
2015-06-08,204.85,204.6,204.85,89.82,1.56
2015-06-07,200.0,199.9,199.9,28.08,1.89
2015-06-06,203.0,200.03,203.0,22.77,1.32
2015-06-05,203.0,201.0,201.0,116.31,2.29
2015-06-04,206.65,204.0,206.65,105.48,2.25
2015-06-03,208.3,203.1,208.4,97.61,1.92
2015-06-02,206.95,205.0,206.95,96.9,1.86
2015-06-01,208.9,205.1,208.9,126.31,2.13
2015-05-31,212.66,210.8,212.66,29.96,1.29
2015-05-30,215.0,212.2,215.5,16.8,0.74
2015-05-29,216.9,213.5,216.9,50.29,1.17
2015-05-28,217.9,214.0,217.9,97.0,2.43
2015-05-27,217.0,213.2,217.0,88.14,2.39
2015-05-26,219.09,215.0,215.0,61.43,1.54
2015-05-25,214.8,212.0,212.0,26.12,1.06
2015-05-24,216.9,213.0,216.9,35.67,1.9
2015-05-23,215.4,214.0,215.0,20.79,1.04
2015-05-22,217.0,212.01,212.01,85.08,2.0
2015-05-21,215.0,211.05,212.33,52.89,1.41
2015-05-20,213.0,210.0,213.0,45.86,1.22
2015-05-19,212.0,206.2,206.2,104.91,2.65
2015-05-18,211.9,205.02,211.9,66.16,1.45
2015-05-17,209.0,205.01,205.01,20.53,0.95
2015-05-16,208.49,206.01,206.01,38.36,1.76
2015-05-15,210.5,209.0,210.5,81.53,1.97
2015-05-14,210.5,209.0,210.5,81.53,1.97
2015-05-13,217.4,214.4,214.4,50.48,1.35
2015-05-12,216.99,214.51,216.9,61.24,1.85
2015-05-11,219.35,216.04,219.35,118.81,2.79
2015-05-10,215.0,213.0,215.0,27.87,1.74
2015-05-09,214.8,213.0,213.0,22.32,1.2
2015-05-08,217.99,213.3,218.79,97.16,2.07
2015-05-07,211.99,209.0,211.99,98.84,1.63
2015-05-06,208.0,203.1,208.0,195.81,4.18
2015-05-05,212.0,209.5,212.0,77.96,1.57
2015-05-04,215.8,212.0,215.8,58.58,1.51
2015-05-03,216.98,212.0,212.09,52.75,2.1
2015-05-02,210.96,207.0,210.96,17.43,1.14
2015-05-01,211.6,208.0,209.0,45.76,2.2
2015-04-30,211.99,211.0,211.99,66.5,1.18
2015-04-29,209.99,205.1,209.99,81.21,1.93
2015-04-28,210.0,206.5,210.0,90.05,2.18
2015-04-27,213.0,206.0,212.12,198.22,4.63
2015-04-26,206.13,201.08,200.13,141.24,3.29
2015-04-25,212.99,210.01,212.0,19.52,0.98
2015-04-24,215.99,211.7,214.99,31.91,0.93
2015-04-23,220.0,215.9,215.9,123.38,2.92
2015-04-22,222.9,218.5,222.9,73.13,1.72
2015-04-21,219.01,217.0,214.0,65.79,1.35
2015-04-20,210.2,208.01,210.2,36.09,0.89
2015-04-19,212.0,207.25,212.0,58.98,4.13
2015-04-18,208.0,207.0,207.0,31.04,1.73
2015-04-17,217.06,206.33,211.0,106.23,3.42
2015-04-16,215.5,211.6,215.2,129.41,3.52
2015-04-15,210.0,207.0,212.5,95.62,2.2
2015-04-14,208.0,205.0,205.0,122.58,1.97
2015-04-13,215.2,210.11,214.4,84.59,1.78
2015-04-12,225.0,223.5,223.5,28.58,1.7
2015-04-11,225.0,222.5,222.5,12.09,0.58
2015-04-10,228.66,222.0,222.0,61.48,1.51
2015-04-09,231.0,228.0,228.0,74.22,1.75
2015-04-08,233.8,230.0,232.5,134.75,2.39
2015-04-07,236.1,233.0,236.1,45.58,1.19
2015-04-06,235.0,231.2,235.0,56.9,2.84
2015-04-05,237.5,236.0,236.0,9.07,0.71
2015-04-04,235.9,232.0,237.5,8.3,0.47
2015-04-03,234.0,231.0,234.0,53.43,1.65
2015-04-02,233.99,230.0,233.99,73.4,1.76
2015-04-01,230.99,226.49,230.99,41.05,0.82
2015-03-31,230.99,227.01,230.99,49.97,1.31
2015-03-30,232.8,227.0,228.34,49.21,1.14
2015-03-29,229.0,222.0,223.0,27.86,1.1
2015-03-28,231.99,226.0,231.99,80.07,3.79
2015-03-27,230.0,228.0,228.0,26.53,0.93
2015-03-26,235.87,228.11,229.0,58.64,1.2
2015-03-25,228.89,224.0,228.9,59.58,1.05
2015-03-24,233.99,228.0,228.0,148.83,2.47
2015-03-23,254.5,244.0,255.0,58.81,1.26
2015-03-22,255.0,250.0,256.0,46.38,2.02
2015-03-21,245.0,242.0,245.0,40.95,2.08
2015-03-20,249.99,243.0,249.99,72.76,1.93
2015-03-19,248.0,244.0,245.0,101.98,1.33
2015-03-18,240.0,234.5,240.0,281.82,2.9
2015-03-17,267.0,264.3,267.0,77.16,2.24
2015-03-16,275.0,273.0,275.0,68.21,1.83
2015-03-15,272.99,268.55,272.0,42.78,2.45
2015-03-14,271.36,267.0,271.0,61.57,2.34
2015-03-13,276.8,275.0,276.8,111.02,2.32
2015-03-12,279.89,276.0,278.0,84.64,1.58
2015-03-11,281.96,280.0,281.99,93.34,1.54
2015-03-10,275.89,270.0,275.89,262.1,2.85
2015-03-09,266.9,266.5,266.5,348.42,4.94
2015-03-08,255.94,250.0,255.94,28.82,1.47
2015-03-07,253.98,250.0,251.0,26.84,1.22
2015-03-06,252.42,246.5,246.5,112.43,2.41
2015-03-05,251.0,248.0,253.0,212.88,3.09
2015-03-04,250.0,245.0,250.0,207.95,2.37
2015-03-03,256.0,251.0,252.0,197.07,2.28
2015-03-02,243.0,240.75,243.0,261.7,2.86
2015-03-01,227.98,225.0,227.98,97.54,2.99
2015-02-28,226.0,221.1,221.1,44.05,1.54
2015-02-27,224.81,220.18,220.17,180.08,2.36
2015-02-26,214.9,211.75,211.75,51.3,1.31
2015-02-25,212.95,210.0,213.0,90.21,2.43
2015-02-24,214.95,210.0,210.0,51.76,1.21
2015-02-23,212.88,210.01,213.0,61.82,1.64
2015-02-22,213.0,205.32,213.7,76.81,2.56
2015-02-21,216.44,212.55,215.0,24.77,1.4
2015-02-20,216.31,212.44,217.42,61.49,1.19
2015-02-19,214.0,212.0,212.0,96.13,2.45
2015-02-18,211.11,205.0,205.0,64.42,1.25
2015-02-17,216.0,211.99,212.0,63.4,1.12
2015-02-16,210.97,206.06,211.0,81.01,1.51
2015-02-15,205.64,200.75,200.0,136.46,2.13
2015-02-14,224.9,217.0,222.0,189.16,3.06
2015-02-13,205.27,204.0,207.0,68.81,0.9
2015-02-12,200.95,195.1,195.1,43.57,1.25
2015-02-11,201.0,196.05,200.0,83.48,1.68
2015-02-10,198.98,195.0,198.92,103.18,2.13
2015-02-09,199.0,197.5,199.0,110.7,2.15
2015-02-08,198.95,193.07,198.79,12.88,0.44
2015-02-07,200.99,197.2,197.2,42.17,1.03
2015-02-06,199.0,197.0,199.0,70.83,1.38
2015-02-05,196.99,190.0,196.99,105.69,1.95
2015-02-04,201.0,196.0,201.0,147.25,1.71
2015-02-02,208.0,203.0,208.0,85.39,1.39
2015-02-01,208.95,203.0,209.0,171.48,2.66
2015-01-31,205.0,199.0,203.85,79.11,2.18
2015-01-30,209.95,204.0,210.0,131.57,2.77
2015-01-29,209.54,200.1,209.55,137.55,1.57
2015-01-28,210.0,204.0,210.0,152.69,1.87
2015-01-27,234.44,229.0,234.44,158.42,1.92
2015-01-26,244.5,234.03,239.0,446.75,2.7
2015-01-25,233.82,225.0,226.0,115.93,1.97
2015-01-24,219.98,217.0,219.98,100.11,1.73
2015-01-23,210.0,207.0,207.0,150.69,2.55
2015-01-22,207.0,204.1,204.1,112.63,1.28
2015-01-21,200.0,191.0,191.0,131.18,1.7
2015-01-20,185.98,183.2,185.98,78.97,1.15
2015-01-19,186.0,179.0,179.0,68.21,1.3
2015-01-18,185.0,180.0,185.9,38.15,0.61
2015-01-17,176.0,171.6,175.0,63.66,1.6
2015-01-16,188.0,175.0,185.0,73.56,0.87
2015-01-15,185.0,175.01,185.0,224.46,1.36
2015-01-14,155.0,150.0,152.0,438.72,2.15
2015-01-13,199.0,191.5,191.5,425.14,2.96
2015-01-12,230.0,227.0,230.0,61.83,1.48
2015-01-11,228.9,225.0,225.0,42.94,1.14
2015-01-10,237.0,233.0,237.0,29.68,0.82
2015-01-09,250.0,245.0,247.5,68.39,1.52
2015-01-08,246.0,242.04,246.0,64.12,1.34
2015-01-06,248.9,240.0,240.0,182.54,2.66
2015-01-05,234.0,226.0,232.5,114.54,1.5
2015-01-04,225.0,221.0,221.1,179.32,2.22
2015-01-03,249.9,243.0,243.0,156.69,3.8
2015-01-02,268.0,265.0,265.0,99.72,4.87
2015-01-01,261.0,255.01,261.0,49.21,4.79
2014-12-31,263.0,256.0,263.0,44.39,2.59
2014-12-30,261.2,257.0,261.01,45.81,1.58
2014-12-29,263.99,259.0,263.99,55.48,2.32
2014-12-28,265.0,257.0,257.0,29.49,2.3
2014-12-27,268.0,260.01,260.0,33.79,1.93
2014-12-26,271.0,270.0,271.0,45.6,2.56
2014-12-25,270.0,263.0,270.0,23.76,1.55
2014-12-24,275.1,266.2,275.2,64.12,2.53
2014-12-23,277.99,273.0,275.0,119.79,3.37
2014-12-22,275.99,273.38,273.99,59.49,1.6
2014-12-21,268.0,262.23,268.0,35.81,1.85
2014-12-20,279.97,265.1,279.99,66.76,2.06
2014-12-19,267.3,259.0,267.99,72.25,1.92
2014-12-18,261.0,256.0,261.0,100.88,2.21
2014-12-17,268.0,261.1,269.5,169.05,3.2
2014-12-16,270.0,266.0,270.0,221.49,4.29
2014-12-15,287.0,282.5,287.0,64.33,2.35
2014-12-14,287.0,283.0,283.0,21.85,1.0
2014-12-13,292.4,281.0,281.0,17.54,0.8
2014-12-12,293.99,285.1,290.99,54.63,2.13
2014-12-11,286.4,283.0,286.5,133.45,3.1
2014-12-10,286.95,282.0,287.0,84.57,2.99
2014-12-09,289.0,286.0,289.0,236.79,4.29
2014-12-08,302.98,297.5,302.78,117.42,3.75
2014-12-07,306.7,301.64,305.99,12.88,1.09
2014-12-06,306.98,305.29,305.29,31.39,1.99
2014-12-05,305.5,303.0,305.5,35.3,1.21
2014-12-04,304.99,301.0,301.99,59.99,1.89
2014-12-03,308.99,305.7,308.0,70.51,2.42
2014-12-02,308.0,303.0,303.0,38.16,1.17
2014-12-01,304.0,303.0,303.0,55.29,2.38
2014-11-30,303.0,300.0,303.0,43.31,2.74
2014-11-29,303.77,300.0,303.77,45.9,2.25
2014-11-28,304.8,304.0,304.0,85.01,2.03
2014-11-27,300.0,298.0,299.0,50.6,2.16
2014-11-26,298.0,294.01,298.0,67.05,2.02
2014-11-25,309.9,302.0,304.0,98.62,2.79
2014-11-24,308.9,300.31,300.0,83.22,2.0
2014-11-22,292.0,289.5,289.5,8.7,0.4
2014-11-20,300.0,288.7,292.0,75.31,2.0
2014-11-19,305.0,301.91,305.0,82.82,3.04
2014-11-18,306.0,302.0,306.0,82.91,2.65
2014-11-17,316.37,309.38,307.1,109.9,2.52
2014-11-16,311.0,303.45,310.0,34.3,1.79
2014-11-15,307.0,306.69,306.69,64.11,2.54
2014-11-14,321.0,320.8,320.8,85.25,2.01
2014-11-13,329.04,324.84,323.16,221.71,2.61
2014-11-12,336.0,333.0,336.0,346.4,4.89
2014-11-11,293.8,291.0,293.0,78.57,3.31
2014-11-10,295.0,293.0,295.0,96.58,2.45
2014-11-09,283.0,281.0,283.5,20.12,1.08
2014-11-08,274.99,271.0,274.99,24.58,1.36
2014-11-07,275.5,274.0,275.0,88.35,3.78
2014-11-06,283.0,280.0,280.0,111.3,3.02
2014-11-05,272.0,270.1,272.0,100.77,3.04
2014-11-04,263.84,260.0,263.84,130.65,2.96
2014-11-03,263.45,260.1,263.45,75.34,2.49
2014-11-02,263.0,261.0,263.0,34.12,1.79
2014-11-01,264.0,262.48,264.0,54.92,2.0
2014-10-31,274.9,270.0,274.9,86.5,4.08
2014-10-30,278.8,274.0,278.9,78.19,2.2
2014-10-29,272.0,270.0,272.0,70.52,2.09
2014-10-28,285.0,281.0,281.0,119.0,5.45
2014-10-27,289.0,287.64,287.64,89.63,3.3
2014-10-26,285.9,280.0,280.0,33.44,2.47
2014-10-25,284.99,277.0,280.0,75.83,2.82
2014-10-24,286.0,281.2,281.2,38.88,1.59
2014-10-23,287.99,283.0,287.98,142.96,2.83
2014-10-22,305.0,302.0,305.0,58.63,2.13
2014-10-21,307.0,304.0,307.0,97.86,3.3
2014-10-20,305.0,301.14,305.0,44.65,1.47
2014-10-19,309.8,309.69,309.69,11.36,0.66
2014-10-18,305.98,303.0,305.98,29.28,1.63
2014-10-16,304.0,302.0,302.0,93.38,2.13
2014-10-15,309.43,309.0,309.43,125.19,3.59
2014-10-14,321.53,318.0,318.0,151.81,3.43
2014-10-13,305.0,300.0,305.0,111.29,2.47
2014-10-12,299.0,294.0,299.0,27.38,1.16
2014-10-11,290.0,283.0,290.0,49.62,2.28
2014-10-10,288.0,281.0,288.0,118.44,2.95
2014-10-09,293.0,281.0,280.12,302.31,4.09
2014-10-08,279.99,278.0,279.99,111.72,2.25
2014-10-07,267.88,261.1,261.1,107.29,2.67
2014-10-06,272.2,268.0,272.3,174.72,1.81
2014-10-05,240.0,236.5,240.0,149.21,1.43
2014-10-04,256.0,252.04,256.0,114.53,2.49
2014-10-03,292.0,286.2,292.0,78.48,2.6
2014-10-02,299.99,297.5,298.99,65.44,2.18
2014-10-01,308.9,300.21,308.9,87.87,2.44
2014-09-30,312.98,302.2,313.6,99.06,2.7
2014-09-29,305.0,296.0,305.0,64.06,2.04
2014-09-27,322.8,315.0,323.0,42.28,4.23
2014-09-26,316.0,315.9,316.0,56.26,1.82
2014-09-25,326.99,322.0,326.99,98.94,3.09
2014-09-24,338.4,335.5,335.5,90.9,2.17
2014-09-23,350.0,336.0,335.0,193.28,3.61
2014-09-22,319.4,318.0,319.4,77.88,3.03
2014-09-21,320.0,309.02,315.5,25.14,1.28
2014-09-20,320.0,317.1,320.0,72.78,1.98
2014-09-19,317.0,313.0,315.0,153.06,2.45
2014-09-18,337.0,331.5,333.0,169.74,3.09
2014-09-17,354.0,350.2,353.5,129.5,4.02
2014-09-16,365.99,362.25,362.23,51.23,2.07
2014-09-15,370.99,366.0,370.99,53.94,2.19
2014-09-14,370.99,367.9,370.0,8.49,0.61
2014-09-13,370.99,368.0,370.99,10.51,0.96
2014-09-12,372.0,367.8,372.0,46.33,3.15
2014-09-11,377.99,370.0,377.99,46.06,2.32
2014-09-10,370.0,365.1,373.0,53.41,1.44
2014-09-08,373.8,368.1,374.0,71.49,1.1
2014-09-07,378.98,374.0,374.0,16.68,1.18
2014-09-06,378.98,373.0,378.98,36.53,2.27
2014-09-05,376.49,374.01,375.0,21.99,1.11
2014-09-04,384.0,370.0,383.99,61.25,2.01
2014-09-03,368.96,365.2,368.97,60.64,3.86
2014-09-02,371.0,365.0,365.0,46.85,2.44
2014-09-01,373.4,370.0,370.0,59.93,2.92
2014-08-31,370.0,366.5,372.0,88.15,4.99
2014-08-30,385.0,383.0,389.89,21.95,2.56
2014-08-29,392.0,386.0,392.0,39.9,2.56
2014-08-28,394.98,388.0,394.98,44.06,2.69
2014-08-27,394.98,393.49,394.98,42.54,2.54
2014-08-26,394.9,390.7,394.9,51.05,3.14
2014-08-25,389.0,384.5,389.0,27.28,2.27
2014-08-21,409.0,400.0,410.0,107.32,4.17
2014-08-20,402.96,391.0,395.0,105.73,3.16
2014-08-19,375.99,370.0,375.0,66.98,2.05
2014-08-18,350.0,345.0,350.0,157.03,3.42
2014-08-17,380.0,373.2,373.2,36.27,2.57
2014-08-16,403.0,387.01,403.0,70.12,3.77
2014-08-15,391.0,378.0,388.0,45.66,2.1
2014-08-14,394.0,387.0,394.0,126.75,3.44
2014-08-13,412.0,410.01,412.0,101.18,2.91
2014-08-12,432.99,427.0,426.0,74.73,4.96
2014-08-11,435.89,433.0,433.0,28.8,2.0
2014-08-10,443.57,435.56,435.56,19.9,2.78
2014-08-09,439.0,437.0,439.0,7.92,1.68
2014-08-08,441.0,440.0,440.0,31.92,2.58
2014-08-07,441.0,437.0,441.0,24.93,2.06
2014-08-06,437.97,435.0,435.4,38.59,2.9
2014-08-04,439.0,432.0,439.0,33.25,2.47
2014-08-02,447.9,444.0,447.9,27.58,1.45
2014-07-31,440.0,439.99,440.0,44.53,1.6
2014-07-30,431.0,422.5,425.0,42.69,2.19
2014-07-29,435.1,435.0,435.1,52.73,4.08
2014-07-28,445.0,439.0,445.0,62.09,2.96
2014-07-27,449.0,443.0,443.0,15.21,3.04
2014-07-26,449.0,444.11,444.11,13.54,1.58
2014-07-25,450.0,445.0,450.0,27.05,2.65
2014-07-24,457.0,445.0,452.0,90.07,3.82
2014-07-23,462.55,460.1,462.55,41.18,4.34
2014-07-22,460.0,458.0,460.0,25.74,2.7
2014-07-21,459.98,458.0,459.98,22.39,2.35
2014-07-20,460.5,456.0,460.5,9.27,1.74
2014-07-19,460.45,457.0,460.45,24.13,4.46
2014-07-18,459.0,457.01,459.0,31.19,3.05
2014-07-17,460.0,456.0,456.0,47.15,3.31
2014-07-16,459.0,454.0,459.0,25.9,2.45
2014-07-15,457.98,455.0,455.0,22.9,2.05
2014-07-14,459.98,455.1,459.99,20.1,1.78
2014-07-13,460.0,455.0,460.0,13.08,2.05
2014-07-12,464.0,461.0,464.0,13.18,2.06
2014-07-11,465.2,464.69,465.2,42.31,2.9
2014-07-10,455.99,453.0,455.99,51.73,3.74
2014-07-09,462.0,458.0,458.0,59.61,5.8
2014-07-08,458.99,457.98,457.98,37.21,3.64
2014-07-07,455.5,455.0,455.5,55.46,3.14
2014-07-06,463.0,457.0,463.0,13.32,2.05
2014-07-05,463.0,455.13,462.98,14.01,2.57
2014-07-04,464.9,455.0,455.0,55.71,3.51
2014-07-03,470.0,467.1,470.0,52.47,4.13
2014-07-02,480.33,475.0,475.0,133.62,7.79
2014-07-01,470.0,466.0,470.0,116.06,4.17
2014-06-30,469.0,461.0,469.5,186.2,4.66
2014-06-29,438.85,434.0,438.86,16.95,3.27
2014-06-28,438.99,430.1,430.1,59.2,4.63
2014-06-27,434.85,421.5,434.85,115.54,5.27
2014-06-26,418.5,417.0,418.5,43.81,3.37
2014-06-25,416.0,415.0,415.0,80.01,3.22
2014-06-24,434.99,431.0,433.0,35.15,2.9
2014-06-23,436.02,433.31,436.02,26.39,2.02
2014-06-22,444.0,439.0,439.0,29.42,3.24
2014-06-21,439.99,434.01,439.0,7.13,1.15
2014-06-20,440.0,435.0,435.0,65.46,4.13
2014-06-19,447.5,440.02,440.0,45.78,3.76
2014-06-18,450.0,447.0,447.0,60.34,3.93
2014-06-17,445.0,444.0,445.0,107.4,5.19
2014-06-16,440.0,439.0,439.0,121.8,4.01
2014-06-15,428.0,418.0,428.0,43.91,2.4
2014-06-14,419.5,410.32,410.1,80.3,2.82
2014-06-13,434.0,430.0,428.0,89.89,1.85
2014-06-12,425.0,423.0,425.0,121.12,3.74
2014-06-11,468.9,453.11,453.1,126.86,6.14
2014-06-10,482.0,480.1,481.1,65.61,3.36
2014-06-09,485.9,480.0,480.0,70.37,5.7
2014-06-08,489.0,480.5,489.0,21.27,4.79
2014-06-07,485.0,480.0,480.0,24.53,2.47
2014-06-06,490.0,484.0,490.0,54.17,3.24
2014-06-05,493.5,486.5,493.5,107.45,4.71
2014-06-04,480.0,473.0,473.0,86.4,3.05
2014-06-01,475.0,468.1,475.0,128.6,3.7
2014-05-31,448.98,444.1,447.0,56.6,4.11
2014-05-30,448.9,440.0,448.9,146.04,4.79
2014-05-29,414.8,410.35,410.35,29.85,1.94
2014-05-28,418.0,410.0,411.0,38.69,1.97
2014-05-27,425.8,416.0,416.0,87.97,2.26
2014-05-26,429.0,425.1,425.0,94.44,3.71
2014-05-25,417.0,414.5,417.0,161.29,4.78
2014-05-24,384.95,379.5,379.5,33.31,2.65
2014-05-23,387.2,386.0,390.0,132.22,3.69
2014-05-22,381.5,378.7,376.0,172.93,4.88
2014-05-21,364.49,359.0,365.0,89.47,4.1
2014-05-20,352.55,351.1,352.55,170.8,4.49
2014-05-19,326.87,325.1,326.87,34.4,3.12
2014-05-18,333.0,325.2,325.2,6.59,1.11
2014-05-17,332.0,326.5,325.0,33.21,5.72
2014-05-16,331.0,330.0,331.0,60.95,5.43
2014-05-15,332.0,330.0,332.0,53.83,2.55
2014-05-14,324.0,319.0,324.0,37.75,1.59
2014-05-13,322.1,316.27,322.1,32.66,1.93
2014-05-12,323.8,316.1,316.0,71.67,5.94
2014-05-11,322.0,317.0,324.0,33.12,2.7
2014-05-10,329.0,327.1,329.0,13.41,1.82
2014-05-08,320.0,315.0,320.0,35.88,2.4
2014-05-07,320.0,319.98,319.98,80.84,2.99
2014-05-06,312.0,309.0,306.0,49.72,2.93
2014-05-05,309.1,309.0,309.1,78.65,4.93
2014-05-04,315.0,310.01,309.09,26.55,3.75
2014-05-03,319.0,315.0,319.0,40.42,3.38
2014-05-02,326.89,322.23,326.89,35.05,2.82
2014-05-01,330.0,327.01,330.0,23.88,1.32
2014-04-30,327.85,325.01,327.9,81.36,4.59
2014-04-29,326.0,323.1,328.0,107.37,4.91
2014-04-28,324.69,322.0,327.0,110.99,4.78
2014-04-27,322.0,321.0,322.0,43.5,3.72
2014-04-26,334.99,334.0,334.99,16.51,1.35
2014-04-22,360.0,356.0,356.0,36.44,2.71
2014-04-21,363.0,361.0,361.0,13.62,1.43
2014-04-20,367.99,359.5,367.99,33.13,3.88
2014-04-19,366.5,361.0,366.0,85.78,6.67
2014-04-18,355.0,350.05,355.0,89.65,6.32
2014-04-17,367.49,360.0,363.0,112.5,3.94
2014-04-15,363.95,360.0,364.88,166.19,3.2
